date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,40,226.0,3226.0,1,1,0,0,1,6.657,
2026-04-02,3226.0,0,0,3226.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-03,3226.0,80,-80.0,3146.0,1,0,1,0,1,0.0,
2026-04-04,3146.0,70,-70.0,3076.0,1,0,1,0,1,0.0,
2026-04-05,3076.0,0,0,3076.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-06,3076.0,40,199.0,3275.0,1,1,0,0,1,5.971,
2026-04-07,3275.0,50,200.0,3475.0,1,1,0,0,1,4.995,
2026-04-08,3475.0,50,-50.0,3425.0,1,0,1,0,1,0.0,
2026-04-09,3425.0,0,0,3425.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-10,3425.0,0,0,3425.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-11,3425.0,40,-40.0,3385.0,1,0,1,0,1,0.0,
2026-04-12,3385.0,50,181.0,3566.0,1,1,0,0,1,4.616,
2026-04-13,3566.0,50,-50.0,3516.0,1,0,1,0,1,0.0,
2026-04-14,3516.0,40,188.0,3704.0,1,1,0,0,1,5.709,
2026-04-15,3704.0,30,157.0,3861.0,1,1,0,0,1,6.228,
2026-04-16,3861.0,0,0,3861.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-17,3861.0,0,0,3861.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-18,3861.0,0,0,3861.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-19,3861.0,60,-60.0,3801.0,1,0,1,0,1,0.0,
2026-04-20,3801.0,0,0,3801.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-21,3801.0,40,-40.0,3761.0,1,0,1,0,1,0.0,
2026-04-22,3761.0,40,-40.0,3721.0,1,0,1,0,1,0.0,
2026-04-23,3721.0,0,0,3721.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-24,3721.0,0,0,3721.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-25,3721.0,0,0,3721.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-26,3721.0,30,-30.0,3691.0,1,0,1,0,1,0.0,
2026-04-27,3691.0,0,0,3691.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-28,3691.0,0,0,3691.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-04-29,3691.0,80,481.0,4172.0,1,1,0,0,1,7.01,
2026-04-30,4172.0,50,0.0,4172.0,1,0,0,0,1,0.0,
2026-05-01,4172.0,0,0,4172.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-02,4172.0,0,0,4172.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-03,4172.0,0,0,4172.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-04,4172.0,0,0,4172.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-05,4172.0,60,-60.0,4112.0,1,0,1,0,1,0.0,
2026-05-06,4112.0,120,-120.0,3992.0,1,0,1,0,1,0.0,
2026-05-07,3992.0,110,-110.0,3882.0,1,0,1,0,1,0.0,
2026-05-08,3882.0,0,0,3882.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-09,3882.0,50,-50.0,3832.0,1,0,1,0,1,0.0,
2026-05-10,3832.0,50,-50.0,3782.0,1,0,1,0,1,0.0,
2026-05-11,3782.0,50,-50.0,3732.0,1,0,1,0,1,0.0,
2026-05-12,3732.0,60,-60.0,3672.0,1,0,1,0,1,0.0,
2026-05-13,3672.0,0,0,3672.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-14,3672.0,0,0,3672.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-15,3672.0,0,0,3672.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-16,3672.0,90,385.0,4057.0,1,1,0,0,1,5.276,
2026-05-17,4057.0,0,0,4057.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-18,4057.0,0,0,4057.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-19,4057.0,0,0,4057.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-20,4057.0,0,0,4057.0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-21,4057.0,0,0,4057.0,0,0,0,0,0,0,無賽事
2026-05-22,4057.0,0,0,4057.0,0,0,0,0,0,0,無 Edge≥4% 選場
